timestamp,solar_mw
2025-01-01 23:00:00+00:00,761.57097
2025-01-01 23:00:00+00:00,4910.81241
2025-01-01 23:00:00+00:00,1168.16916
2025-01-02 00:00:00+00:00,187.9794
2025-01-02 00:00:00+00:00,750.62548
2025-01-02 00:00:00+00:00,223.06031
2025-01-02 01:00:00+00:00,-8.87247
2025-01-02 01:00:00+00:00,-12.89466
2025-01-02 01:00:00+00:00,200.26308
2025-01-02 02:00:00+00:00,-7.87988
2025-01-02 02:00:00+00:00,-24.07065
2025-01-02 02:00:00+00:00,1.01118
2025-01-02 03:00:00+00:00,-22.91475
2025-01-02 03:00:00+00:00,101.19115
2025-01-02 03:00:00+00:00,-7.95909
2025-01-02 04:00:00+00:00,-7.98938
2025-01-02 04:00:00+00:00,-22.56094
2025-01-02 04:00:00+00:00,-7.16053
2025-01-02 05:00:00+00:00,-7.98363
2025-01-02 05:00:00+00:00,-21.41505
2025-01-02 05:00:00+00:00,-6.36729
2025-01-02 06:00:00+00:00,-7.94499
2025-01-02 06:00:00+00:00,-21.47684
2025-01-02 06:00:00+00:00,-5.90643
2025-01-02 07:00:00+00:00,-21.62071
2025-01-02 07:00:00+00:00,-7.91818
2025-01-02 07:00:00+00:00,-5.84401
2025-01-02 08:00:00+00:00,-5.87511
2025-01-02 08:00:00+00:00,-7.91981
2025-01-02 08:00:00+00:00,-22.07918
2025-01-02 09:00:00+00:00,-7.92749
2025-01-02 09:00:00+00:00,-5.87351
2025-01-02 09:00:00+00:00,-21.85212
2025-01-02 10:00:00+00:00,-22.08072
2025-01-02 10:00:00+00:00,-8.83978
2025-01-02 10:00:00+00:00,-5.85141
2025-01-02 11:00:00+00:00,-7.99673
2025-01-02 11:00:00+00:00,-22.79738
2025-01-02 11:00:00+00:00,-5.8584
2025-01-02 12:00:00+00:00,-22.53019
2025-01-02 12:00:00+00:00,-5.86616
2025-01-02 12:00:00+00:00,-7.92169
2025-01-02 13:00:00+00:00,-5.81608
2025-01-02 13:00:00+00:00,-7.8984
2025-01-02 13:00:00+00:00,-22.79875
2025-01-02 14:00:00+00:00,-4.92085
2025-01-02 14:00:00+00:00,-5.91937
2025-01-02 14:00:00+00:00,-8.08272
2025-01-02 15:00:00+00:00,150.47741
2025-01-02 15:00:00+00:00,70.30003
2025-01-02 15:00:00+00:00,1996.56953
2025-01-02 16:00:00+00:00,1134.66779
2025-01-02 16:00:00+00:00,684.76468
2025-01-02 16:00:00+00:00,6974.07776
2025-01-02 17:00:00+00:00,8981.37495
2025-01-02 17:00:00+00:00,1883.64542
2025-01-02 17:00:00+00:00,1037.43123
2025-01-02 18:00:00+00:00,9191.13749
2025-01-02 18:00:00+00:00,970.03375
2025-01-02 18:00:00+00:00,1989.77948
2025-01-02 19:00:00+00:00,1965.6722
2025-01-02 19:00:00+00:00,8952.24176
2025-01-02 19:00:00+00:00,921.145
2025-01-02 20:00:00+00:00,9033.96221
2025-01-02 20:00:00+00:00,1965.63497
2025-01-02 20:00:00+00:00,948.82111
2025-01-02 21:00:00+00:00,9230.09222
2025-01-02 21:00:00+00:00,2009.50138
2025-01-02 21:00:00+00:00,897.47137
2025-01-02 22:00:00+00:00,1823.37562
2025-01-02 22:00:00+00:00,1158.84343
2025-01-02 22:00:00+00:00,8833.05556
2025-01-02 23:00:00+00:00,1258.17911
2025-01-02 23:00:00+00:00,5589.00283
2025-01-02 23:00:00+00:00,901.66708
2025-01-03 00:00:00+00:00,233.69511
2025-01-03 00:00:00+00:00,177.50828
2025-01-03 00:00:00+00:00,895.17296
2025-01-03 01:00:00+00:00,-8.99101
2025-01-03 01:00:00+00:00,169.70995
2025-01-03 01:00:00+00:00,5.84731
2025-01-03 02:00:00+00:00,-38.85677
2025-01-03 02:00:00+00:00,-7.40149
2025-01-03 02:00:00+00:00,-7.91376
2025-01-03 03:00:00+00:00,-7.84274
2025-01-03 03:00:00+00:00,-6.14894
2025-01-03 03:00:00+00:00,-38.80315
2025-01-03 04:00:00+00:00,-6.0081
2025-01-03 04:00:00+00:00,-7.83937
2025-01-03 04:00:00+00:00,-38.21774
2025-01-03 05:00:00+00:00,-36.64392
2025-01-03 05:00:00+00:00,-7.91412
2025-01-03 05:00:00+00:00,-6.16304
2025-01-03 06:00:00+00:00,-7.95575
